HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
Newcastle,West Ham,1,1,D,1.6,3.8,6.0
Nott'm Forest,Leeds,1,0,H,2.63,3.3,2.7
Tottenham,Man City,1,0,H,4.33,4.2,1.73
Man United,Leeds,2,2,D,1.45,5.0,6.0
West Ham,Chelsea,1,1,D,3.3,3.3,2.25
Arsenal,Brentford,1,1,D,1.44,4.75,7.0
Crystal Palace,Brighton,1,1,D,3.8,3.5,2.0
Fulham,Nott'm Forest,2,0,H,1.91,3.5,4.33
Leicester,Tottenham,4,1,H,3.4,3.6,2.1
Southampton,Wolves,1,2,A,2.9,3.2,2.55
Bournemouth,Newcastle,1,1,D,6.5,4.0,1.53
Leeds,Man United,0,2,A,3.75,3.8,1.91
Man City,Aston Villa,3,1,H,1.25,6.5,11.0
Liverpool,Everton,2,0,H,1.5,4.33,6.5
Arsenal,Man City,1,3,A,2.9,3.5,2.35
Aston Villa,Arsenal,2,4,A,4.5,3.6,1.5
Brentford,Crystal Palace,1,1,D,1.83,3.5,4.5
Brighton,Fulham,0,1,A,1.65,3.8,5.5
Chelsea,Southampton,0,1,A,1.4,4.75,8.5
Everton,Leeds,1,0,H,2.4,3.3,3.0
Nott'm Forest,Man City,1,1,D,8.5,5.5,1.3
Wolves,Bournemouth,0,1,A,1.67,3.6,6.0
Newcastle,Liverpool,0,2,A,2.5,3.5,2.7
Man United,Leicester,3,0,H,1.62,4.33,5.25
Tottenham,West Ham,2,0,H,1.75,3.6,4.75
Fulham,Wolves,1,1,D,2.5,3.2,3.0
Everton,Aston Villa,0,2,A,2.5,3.2,3.0
Leeds,Southampton,1,0,H,1.95,3.5,4.0
Leicester,Arsenal,0,1,A,4.75,4.0,1.7
West Ham,Nott'm Forest,4,0,H,1.75,3.6,5.0
Bournemouth,Man City,1,4,A,10.0,5.75,1.29
Crystal Palace,Liverpool,0,0,D,4.75,3.8,1.73
Tottenham,Chelsea,2,0,H,2.55,3.25,2.9
Arsenal,Everton,4,0,H,1.36,4.75,10.0
Liverpool,Wolves,2,0,H,1.5,4.75,6.0
Man City,Newcastle,2,0,H,1.45,4.5,7.0
Arsenal,Bournemouth,3,2,H,1.22,7.0,12.0
Aston Villa,Crystal Palace,1,0,H,2.05,3.3,3.8
Brighton,West Ham,4,0,H,1.8,3.6,4.5
Chelsea,Leeds,1,0,H,1.62,4.0,5.5
Wolves,Tottenham,1,0,H,3.3,3.4,2.2
Southampton,Leicester,1,0,H,2.75,3.3,2.6
Nott'm Forest,Everton,2,2,D,2.7,3.0,2.88
Liverpool,Man United,7,0,H,2.38,3.6,2.88
Brentford,Fulham,3,2,H,1.95,3.6,3.75
Bournemouth,Liverpool,1,0,H,7.5,5.0,1.4
Everton,Brentford,1,0,H,2.7,3.25,2.7
Leeds,Brighton,2,2,D,3.75,3.6,1.95
Leicester,Chelsea,1,3,A,3.75,3.5,1.95
Tottenham,Nott'm Forest,3,1,H,1.44,4.75,7.0
Crystal Palace,Man City,0,1,A,9.0,4.75,1.36
Fulham,Arsenal,0,3,A,6.0,4.0,1.57
Man United,Southampton,0,0,D,1.36,5.0,9.0
West Ham,Aston Villa,1,1,D,2.2,3.3,3.4
Newcastle,Wolves,2,1,H,1.65,3.75,5.5
Brighton,Crystal Palace,1,0,H,1.44,4.2,8.0
Southampton,Brentford,0,2,A,2.88,3.25,2.5
Nott'm Forest,Newcastle,1,2,A,5.5,3.8,1.62
Aston Villa,Bournemouth,3,0,H,1.7,3.8,5.0
Brentford,Leicester,1,1,D,1.91,3.6,3.75
Southampton,Tottenham,3,3,D,4.75,3.6,1.75
Wolves,Leeds,2,4,A,2.25,3.2,3.3
Chelsea,Everton,2,2,D,1.5,4.2,7.5
Arsenal,Crystal Palace,4,1,H,1.25,5.5,15.0
Man City,Liverpool,4,1,H,1.62,4.2,5.0
Arsenal,Leeds,4,1,H,1.29,6.0,9.0
Bournemouth,Fulham,2,1,H,2.55,3.3,2.8
Brighton,Brentford,3,3,D,1.67,4.0,5.0
Crystal Palace,Leicester,2,1,H,2.5,3.25,2.9
Nott'm Forest,Wolves,1,1,D,3.0,3.1,2.55
Chelsea,Aston Villa,0,2,A,1.67,3.8,5.25
West Ham,Southampton,1,0,H,1.73,3.6,5.0
Newcastle,Man United,2,0,H,2.4,3.4,2.9
Everton,Tottenham,1,1,D,3.4,3.3,2.2
Bournemouth,Brighton,0,2,A,6.0,4.2,1.53
Leeds,Nott'm Forest,2,1,H,1.7,3.75,5.0
Leicester,Aston Villa,1,2,A,2.55,3.3,2.75
Chelsea,Liverpool,0,0,D,2.2,3.4,3.25
Man United,Brentford,1,0,H,1.65,4.0,5.0
West Ham,Newcastle,1,5,A,3.6,3.25,2.15
Man United,Everton,2,0,H,1.5,4.33,6.5
Aston Villa,Nott'm Forest,2,0,H,1.6,4.2,5.25
Brentford,Newcastle,1,2,A,3.6,3.4,2.05
Fulham,West Ham,0,1,A,2.8,3.25,2.63
Leicester,Bournemouth,0,1,A,1.83,3.75,4.2
Tottenham,Brighton,2,1,H,2.55,3.5,2.7
Wolves,Chelsea,1,0,H,4.2,3.5,1.91
Southampton,Man City,1,4,A,11.0,6.0,1.25
Leeds,Crystal Palace,1,5,A,2.1,3.4,3.6
Liverpool,Arsenal,2,2,D,2.88,3.6,2.38
Aston Villa,Newcastle,3,0,H,3.6,3.4,2.05
Chelsea,Brighton,1,2,A,2.63,3.4,2.63
Everton,Fulham,1,3,A,2.05,3.4,3.7
Southampton,Crystal Palace,0,2,A,2.8,3.1,2.7
Tottenham,Bournemouth,2,3,A,1.45,4.5,7.0
Wolves,Brentford,2,0,H,2.45,3.1,3.0
Man City,Leicester,3,1,H,1.14,8.5,15.0
West Ham,Arsenal,2,2,D,6.0,4.2,1.55
Nott'm Forest,Man United,0,2,A,5.5,4.0,1.62
Leeds,Liverpool,1,6,A,4.2,4.2,1.73
Arsenal,Southampton,3,3,D,1.2,7.0,13.0
Fulham,Leeds,2,1,H,2.3,3.4,3.1
Brentford,Aston Villa,1,1,D,2.5,3.25,2.88
Crystal Palace,Everton,0,0,D,2.05,3.2,3.75
Leicester,Wolves,2,1,H,2.38,3.3,3.0
Liverpool,Nott'm Forest,3,2,H,1.17,7.5,17.0
Bournemouth,West Ham,0,4,A,2.88,3.2,2.55
Newcastle,Tottenham,6,1,H,1.83,3.75,4.2
Wolves,Crystal Palace,2,0,H,2.45,3.2,3.0
Aston Villa,Fulham,1,0,H,1.75,4.0,4.2
Leeds,Leicester,1,1,D,2.3,3.5,3.0
Nott'm Forest,Brighton,3,1,H,6.0,4.2,1.53
Chelsea,Brentford,0,2,A,1.7,4.0,4.75
West Ham,Liverpool,1,2,A,3.9,3.9,1.85
Man City,Arsenal,4,1,H,1.55,4.5,5.25
Everton,Newcastle,1,4,A,4.75,3.6,1.73
Southampton,Bournemouth,0,1,A,2.25,3.4,3.2
Tottenham,Man United,2,2,D,2.8,3.6,2.4
Crystal Palace,West Ham,4,3,H,2.63,3.25,2.75
Brentford,Nott'm Forest,2,1,H,1.65,3.8,5.5
Brighton,Wolves,6,0,H,1.5,4.33,6.5
Bournemouth,Leeds,4,1,H,2.55,3.5,2.7
Fulham,Man City,1,2,A,12.0,6.0,1.25
Man United,Aston Villa,1,0,H,1.73,3.9,4.6
Newcastle,Southampton,3,1,H,1.3,5.25,10.0
Liverpool,Tottenham,4,3,H,1.53,4.5,5.75
Leicester,Everton,2,2,D,2.0,3.5,3.75
Arsenal,Chelsea,3,1,H,1.6,4.0,5.5
Liverpool,Fulham,1,0,H,1.25,5.75,11.0
Man City,West Ham,3,0,H,1.2,7.0,13.0
Brighton,Man United,1,0,H,1.95,3.5,3.75
Bournemouth,Chelsea,1,3,A,3.3,3.5,2.15
Man City,Leeds,2,1,H,1.17,8.5,15.0
Tottenham,Crystal Palace,1,0,H,1.8,3.8,4.2
Wolves,Aston Villa,1,0,H,2.88,3.3,2.5
Liverpool,Brentford,1,0,H,1.44,5.0,6.0
Newcastle,Arsenal,0,2,A,2.45,3.75,2.63
West Ham,Man United,1,0,H,3.4,3.75,2.05
Fulham,Leicester,5,3,H,2.63,3.5,2.6
Brighton,Everton,1,5,A,1.33,5.25,9.0
Nott'm Forest,Southampton,4,3,H,2.1,3.6,3.4
Leeds,Newcastle,2,2,D,4.33,4.2,1.7
Aston Villa,Tottenham,2,1,H,2.25,3.6,2.9
Chelsea,Nott'm Forest,2,2,D,1.5,4.5,6.0
Crystal Palace,Bournemouth,2,0,H,1.83,3.6,4.2
Man United,Wolves,2,0,H,1.36,5.0,7.5
Southampton,Fulham,0,2,A,2.75,3.3,2.5
Brentford,West Ham,2,0,H,2.0,3.5,3.6
Everton,Man City,0,3,A,9.0,4.75,1.36
Arsenal,Brighton,0,3,A,1.73,4.2,4.2
Leicester,Liverpool,0,3,A,5.25,4.33,1.57
Newcastle,Brighton,4,1,H,2.0,3.8,3.5
Tottenham,Brentford,1,3,A,1.83,3.9,4.0
Bournemouth,Man United,0,1,A,6.0,4.75,1.5
Fulham,Crystal Palace,2,2,D,2.45,3.4,2.9
Liverpool,Aston Villa,1,1,D,1.45,5.0,6.25
Wolves,Everton,1,1,D,2.75,3.3,2.6
Nott'm Forest,Arsenal,1,0,H,5.25,4.33,1.57
West Ham,Leeds,3,1,H,2.4,3.5,2.88
Brighton,Southampton,3,1,H,1.22,7.0,11.0
Man City,Chelsea,1,0,H,1.25,6.0,11.0
Newcastle,Leicester,0,0,D,1.36,5.5,7.0
Brighton,Man City,1,1,D,4.0,4.33,1.75
Man United,Chelsea,4,1,H,1.6,4.33,5.0
Arsenal,Wolves,5,0,H,1.36,5.25,8.0
Aston Villa,Brighton,2,1,H,2.0,3.6,3.5
Brentford,Man City,1,0,H,3.8,4.0,1.83
Chelsea,Newcastle,1,1,D,2.9,3.5,2.38
Crystal Palace,Nott'm Forest,1,1,D,1.67,4.0,5.0
Everton,Bournemouth,1,0,H,1.5,4.5,6.5
Leeds,Tottenham,1,4,A,2.75,3.8,2.3
Leicester,West Ham,2,1,H,1.91,3.8,3.6
Man United,Fulham,2,1,H,1.5,4.33,6.0
Southampton,Liverpool,4,4,D,6.5,4.75,1.44
